# ----------------------------------------
# Duke Chapel - GA4
# DCDevelopment_Pages and Screens by Date+Hour-Free form 1
# 20240224-20250423
# ----------------------------------------

Date + hour (YYYYMMDDHH),Page path and screen class,Page title and screen class,Page title and screen name,Content group,Views,Views per active user,Key events,Event count,Active users
2024030619,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.6666666666666667,0,12,3
2024030620,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.25,0,16,4
2024030707,/events-month/2024-4,04/2024 | Duke University Chapel,04/2024 | Duke University Chapel,(not set),5,2.5,0,10,2
2024030714,/about-chapel,About the Chapel | Duke University Chapel,About the Chapel | Duke University Chapel,(not set),5,1,0,14,5
2024030715,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1.25,0,10,4
2024030718,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,5,0,13,1
2024030720,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.25,0,16,4
2024030720,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.6666666666666667,0,13,3
2024030721,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.25,0,14,4
2024030721,/events/organ-recital-series-robert-parkins-1710709200-1710712800,Organ Recital Series: Robert Parkins | Duke University Chapel,Organ Recital Series: Robert Parkins | Duke University Chapel,(not set),5,1,0,13,5
2024030722,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.6666666666666667,0,12,3
2024030722,/events-month/2024-4,04/2024 | Duke University Chapel,04/2024 | Duke University Chapel,(not set),5,5,0,11,1
2024030808,/archives/preaching,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,1.6666666666666667,0,11,3
2024030808,/sacred-music-arts/music-worship/chapel-choir,Chapel Choir | Duke University Chapel,Chapel Choir | Duke University Chapel,(not set),5,1,0,20,5
2024030810,/events/choral-evensong-worship-service-1710100800-1710104400,Choral Evensong Worship Service | Duke University Chapel,Choral Evensong Worship Service | Duke University Chapel,(not set),5,1.6666666666666667,0,31,3
2024030810,/events/organ-recital-series-robert-parkins-1710709200-1710712800,Organ Recital Series: Robert Parkins | Duke University Chapel,Organ Recital Series: Robert Parkins | Duke University Chapel,(not set),5,1.25,0,17,4
2024030811,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.25,0,18,4
2024030811,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,1.6666666666666667,0,14,3
2024030811,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.6666666666666667,0,11,3
2024030812,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.6666666666666667,0,14,3
2024030813,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,1.25,0,13,4
2024030815,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,1.25,0,14,4
2024030815,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,1.25,0,20,4
2024030818,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.6666666666666667,0,12,3
2024030821,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,2.5,0,11,2
2024030822,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,5,0,11,1
2024030907,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1.25,0,16,4
2024030908,/community-engagement/pathways-fellowship,PathWays Fellowship | Duke University Chapel,PathWays Fellowship | Duke University Chapel,(not set),5,1.25,0,16,4
2024030908,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,1,0,14,5
2024030908,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1.25,0,12,4
2024030909,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1.25,0,16,4
2024030910,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,5,0,14,1
2024030910,/christian-worship/worship-services,Worship Services | Duke University Chapel,Worship Services | Duke University Chapel,(not set),5,1.25,0,11,4
2024030911,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,1.25,0,15,4
2024030912,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,1.6666666666666667,0,13,3
2024030916,/about-chapel,About the Chapel | Duke University Chapel,About the Chapel | Duke University Chapel,(not set),5,1.25,0,16,4
2024030918,/christian-worship/worship-services,Worship Services | Duke University Chapel,Worship Services | Duke University Chapel,(not set),5,1.25,0,13,4
2024030922,/events/university-worship-1710082800-1710086400,University Worship | Duke University Chapel,University Worship | Duke University Chapel,(not set),5,1,0,10,5
2024031007,/events/university-worship-1710082800-1710086400,University Worship | Duke University Chapel,University Worship | Duke University Chapel,(not set),5,1.25,0,7,4
2024031008,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,5,0,11,1
2024031008,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1.25,0,16,4
2024031009,/2006-sermons-archive,2006 Sermons Archive | Duke University Chapel,2006 Sermons Archive | Duke University Chapel,(not set),5,5,0,17,1
2024031011,/events-day/2024-03-10,03/10/2024 | Duke University Chapel,03/10/2024 | Duke University Chapel,(not set),5,1.25,0,11,4
2024031011,/events/online-university-worship-1616338800-1616343300,[Online] University Worship | Duke University Chapel,[Online] University Worship | Duke University Chapel,(not set),5,1.6666666666666667,0,12,3
2024031018,/about-chapel,About the Chapel | Duke University Chapel,About the Chapel | Duke University Chapel,(not set),5,1.25,0,19,4
2024031019,/SundayService,Sunday Morning Worship Service | Duke University Chapel,Sunday Morning Worship Service | Duke University Chapel,(not set),5,1.6666666666666667,0,11,3
2024031020,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.25,0,16,4
2024031023,/about-chapel/history-architecture,History & Architecture | Duke University Chapel,History & Architecture | Duke University Chapel,(not set),5,1,0,18,5
2024031023,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1.6666666666666667,0,16,3
2024031108,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.25,0,14,4
2024031110,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,0.8333333333333334,0,16,6
2024031111,/media/browser,Media browser | Duke University Chapel,Media browser | Duke University Chapel,(not set),5,5,0,18,1
2024031118,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.25,0,17,4
2024031120,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,2.5,0,12,2
2024031121,/events/list/week,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.25,0,13,4
2024031121,/livingtradition,Living Tradition | Duke University Chapel,Living Tradition | Duke University Chapel,(not set),5,5,0,8,1
2024031123,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.25,0,15,4
2024031206,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,0.8333333333333334,0,20,6
2024031207,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.25,0,14,4
2024031208,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.25,0,13,4
2024031208,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,2.5,0,15,2
2024031209,/about-chapel/staff,Staff | Duke University Chapel,Staff | Duke University Chapel,(not set),5,1.6666666666666667,0,14,3
2024031211,/events/bachs-st-john-passion-1712520000-1712525400,Bach's St. John Passion | Duke University Chapel,Bach's St. John Passion | Duke University Chapel,(not set),5,1,0,16,5
2024031212,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,2.5,0,13,2
2024031213,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.25,0,13,4
2024031213,/events/bachs-st-john-passion-1712520000-1712525400,Bach's St. John Passion | Duke University Chapel,Bach's St. John Passion | Duke University Chapel,(not set),5,1,0,16,5
2024031213,/events/organ-recital-series-robert-parkins-1710709200-1710712800,Organ Recital Series: Robert Parkins | Duke University Chapel,Organ Recital Series: Robert Parkins | Duke University Chapel,(not set),5,1.25,0,12,4
2024031215,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.6666666666666667,0,14,3
2024031217,/SundayService,Sunday Morning Worship Service | Duke University Chapel,Sunday Morning Worship Service | Duke University Chapel,(not set),5,2.5,0,14,2
2024031217,/christian-worship/worship-services,Worship Services | Duke University Chapel,Worship Services | Duke University Chapel,(not set),5,1.25,0,12,4
2024031217,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,1.25,0,15,4
2024031219,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1,0,16,5
2024031219,/events/organ-recital-series-robert-parkins-1710709200-1710712800,Organ Recital Series: Robert Parkins | Duke University Chapel,Organ Recital Series: Robert Parkins | Duke University Chapel,(not set),5,1.6666666666666667,0,15,3
2024031221,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.6666666666666667,0,13,3
2024031305,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,5,0,16,1
2024031309,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.25,0,11,4
2024031309,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,1.25,0,15,4
2024031311,/visit-events/reservation-requests/weddings,Weddings | Duke University Chapel,Weddings | Duke University Chapel,(not set),5,1.25,0,18,4
2024031314,/visit-events/reservation-requests/tower-climbs,Tower Climbs | Duke University Chapel,Tower Climbs | Duke University Chapel,(not set),5,1.25,0,15,4
2024031315,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,2.5,0,19,2
2024031317,/events/organ-recital-series-robert-parkins-1710709200-1710712800,Organ Recital Series: Robert Parkins | Duke University Chapel,Organ Recital Series: Robert Parkins | Duke University Chapel,(not set),5,2.5,0,7,2
2024031319,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.6666666666666667,0,11,3
2024031320,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,1.25,0,15,4
2024031322,/wedding-inquiry-form,Wedding Inquiry Form | Duke University Chapel,Wedding Inquiry Form | Duke University Chapel,(not set),5,5,0,14,1
2024031323,/wedding-inquiry-form,Wedding Inquiry Form | Duke University Chapel,Wedding Inquiry Form | Duke University Chapel,(not set),5,2.5,0,18,2
2024031403,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,5,0,16,1
2024031410,/events-day/2024-03-24,03/24/2024 | Duke University Chapel,03/24/2024 | Duke University Chapel,(not set),5,2.5,0,12,2
2024031411,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.6666666666666667,0,15,3
2024031411,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,0.8333333333333334,0,20,6
2024031412,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,1.6666666666666667,0,13,3
2024031412,/events/university-worship-1710687600-1710691200,University Worship | Duke University Chapel,University Worship | Duke University Chapel,(not set),5,2.5,0,10,2
2024031413,/events/university-worship-1710687600-1710691200,University Worship | Duke University Chapel,University Worship | Duke University Chapel,(not set),5,0.8333333333333334,0,15,6
2024031414,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.6666666666666667,0,16,3
2024031414,/events/our-first-lady-jazz-celebrating-mary-lou-williams-1713124800-1713130200,Our First Lady of Jazz: Celebrating Mary Lou Williams | Duke University Chapel,Our First Lady of Jazz: Celebrating Mary Lou Williams | Duke University Chapel,(not set),5,5,0,10,1
2024031414,/events/university-worship-1710687600-1710691200,University Worship | Duke University Chapel,University Worship | Duke University Chapel,(not set),5,1.25,0,13,4
2024031415,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,1.6666666666666667,0,15,3
2024031415,/events-month/2024-4,04/2024 | Duke University Chapel,04/2024 | Duke University Chapel,(not set),5,5,0,10,1
2024031415,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,0.8333333333333334,0,17,6
2024031416,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1,0,19,5
2024031416,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.25,0,18,4
2024031417,/media/browser,Media browser | Duke University Chapel,Media browser | Duke University Chapel,(not set),5,5,0,23,1
2024031418,/sunday-service-fifth-sunday-lent,Sunday Service for the Fifth Sunday in Lent | Duke University Chapel,Sunday Service for the Fifth Sunday in Lent | Duke University Chapel,(not set),5,1.6666666666666667,0,13,3
2024031420,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.6666666666666667,0,15,3
2024031423,/about-chapel/news-media,News & Media | Duke University Chapel,News & Media | Duke University Chapel,(not set),5,1,0,12,5
2024031507,/events/organ-recital-series-robert-parkins-1710709200-1710712800,Organ Recital Series: Robert Parkins | Duke University Chapel,Organ Recital Series: Robert Parkins | Duke University Chapel,(not set),5,1,0,15,5
2024031509,/prayers-students-during-exams,Prayers for Students during Exams | Duke University Chapel,Prayers for Students during Exams | Duke University Chapel,(not set),5,1.25,0,20,4
2024031510,/events-month/2024-2,02/2024 | Duke University Chapel,02/2024 | Duke University Chapel,(not set),5,5,0,10,1
2024031516,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1,0,15,5
2024031517,/music,2023–2024 Concert Season | Duke University Chapel,2023–2024 Concert Season | Duke University Chapel,(not set),5,1.6666666666666667,0,13,3
2024031518,/about-chapel,About the Chapel | Duke University Chapel,About the Chapel | Duke University Chapel,(not set),5,1.25,0,14,4
2024031518,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.25,0,12,4
2024031519,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,1.25,0,9,4
2024031521,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1,0,14,5
2024031522,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1,0,16,5
2024031601,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,5,0,17,1
2024031602,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,5,0,11,1
2024031611,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.25,0,9,4
2024031615,/visit-events/reservation-requests/weddings,Weddings | Duke University Chapel,Weddings | Duke University Chapel,(not set),5,1.6666666666666667,0,15,3
2024031615,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1.25,0,14,4
2024031616,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,2.5,0,13,2
2024031617,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,1.6666666666666667,0,13,3
2024031617,/events/organ-recital-series-robert-parkins-1710709200-1710712800,Organ Recital Series: Robert Parkins | Duke University Chapel,Organ Recital Series: Robert Parkins | Duke University Chapel,(not set),5,1.25,0,9,4
2024031617,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1.25,0,15,4
2024031620,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,2.5,0,13,2
2024031621,/events-day/2024-03-17,03/17/2024 | Duke University Chapel,03/17/2024 | Duke University Chapel,(not set),5,1,0,10,5
2024031622,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,2.5,0,20,2
2024031708,/events-day/2024-03-24,03/24/2024 | Duke University Chapel,03/24/2024 | Duke University Chapel,(not set),5,1.6666666666666667,0,8,3
2024031710,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,2.5,0,11,2
2024031710,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1.6666666666666667,0,12,3
2024031711,/christian-worship/worship-services,Worship Services | Duke University Chapel,Worship Services | Duke University Chapel,(not set),5,1,0,18,5
2024031711,/events/easter-sunrise-service-duke-gardens-1522578600-1522582200,Easter Sunrise Service -- in Duke Gardens | Duke University Chapel,Easter Sunrise Service -- in Duke Gardens | Duke University Chapel,(not set),5,2.5,0,15,2
2024031711,/events/organ-recital-series-robert-parkins-1710709200-1710712800,Organ Recital Series: Robert Parkins | Duke University Chapel,Organ Recital Series: Robert Parkins | Duke University Chapel,(not set),5,1,0,7,5
2024031712,/events-day/2024-03-24,03/24/2024 | Duke University Chapel,03/24/2024 | Duke University Chapel,(not set),5,1.6666666666666667,0,9,3
2024031712,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,1,0,15,5
2024031713,/SundayService,Sunday Morning Worship Service | Duke University Chapel,Sunday Morning Worship Service | Duke University Chapel,(not set),5,1.25,0,12,4
2024031713,/events/organ-recital-series-robert-parkins-1710709200-1710712800,Organ Recital Series: Robert Parkins | Duke University Chapel,Organ Recital Series: Robert Parkins | Duke University Chapel,(not set),5,1.25,0,10,4
2024031713,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1,0,17,5
2024031714,/christian-worship/worship-services,Worship Services | Duke University Chapel,Worship Services | Duke University Chapel,(not set),5,1.25,0,19,4
2024031714,/events/university-worship-1710687600-1710691200,University Worship | Duke University Chapel,University Worship | Duke University Chapel,(not set),5,1,0,13,5
2024031714,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1.25,0,14,4
2024031715,/christian-worship/worship-services,Worship Services | Duke University Chapel,Worship Services | Duke University Chapel,(not set),5,1.25,0,18,4
2024031717,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,1.25,0,14,4
2024031718,/events/welcome-address-information-sessions-blue-devil-days-1429551000-1429561800,Welcome Address & Information Sessions: Blue Devil Days | Duke University Chapel,Welcome Address & Information Sessions: Blue Devil Days | Duke University Chapel,(not set),5,2.5,0,15,2
2024031721,/about-chapel/history-architecture,History & Architecture | Duke University Chapel,History & Architecture | Duke University Chapel,(not set),5,1.25,0,16,4
2024031804,/archives,Preaching Archive | Duke University Chapel,Preaching Archive | Duke University Chapel,(not set),5,5,0,14,1
2024031806,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1.25,0,20,4
2024031806,/events-month/2024-4,04/2024 | Duke University Chapel,04/2024 | Duke University Chapel,(not set),5,5,0,10,1
2024031807,/events/our-first-lady-jazz-celebrating-mary-lou-williams-1713124800-1713130200,Our First Lady of Jazz: Celebrating Mary Lou Williams | Duke University Chapel,Our First Lady of Jazz: Celebrating Mary Lou Williams | Duke University Chapel,(not set),5,1.25,0,16,4
2024031808,/holy-week-and-easter-2024,Holy Week and Easter 2024 | Duke University Chapel,Holy Week and Easter 2024 | Duke University Chapel,(not set),5,1,0,16,5
2024031808,/visit-events/visit,Visit | Duke University Chapel,Visit | Duke University Chapel,(not set),5,2.5,0,10,2
2024031809,/events-day/2024-03-24,03/24/2024 | Duke University Chapel,03/24/2024 | Duke University Chapel,(not set),5,5,0,10,1
2024031809,/events-month/2024-4,04/2024 | Duke University Chapel,04/2024 | Duke University Chapel,(not set),5,1.6666666666666667,0,10,3
2024031809,/events/our-first-lady-jazz-celebrating-mary-lou-williams-1713124800-1713130200,Our First Lady of Jazz: Celebrating Mary Lou Williams | Duke University Chapel,Our First Lady of Jazz: Celebrating Mary Lou Williams | Duke University Chapel,(not set),5,1.25,0,14,4
2024031811,/2009-sermons-archive,2009 Sermons Archive | Duke University Chapel,2009 Sermons Archive | Duke University Chapel,(not set),5,1.25,0,12,4
2024031812,/about-chapel/staff,Staff | Duke University Chapel,Staff | Duke University Chapel,(not set),5,1.25,0,12,4
2024031813,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.25,0,13,4
2024031813,/visit-events/reservation-requests/tower-climbs,Tower Climbs | Duke University Chapel,Tower Climbs | Duke University Chapel,(not set),5,1.6666666666666667,0,15,3
2024031814,/events,Calendar | Duke University Chapel,Calendar | Duke University Chapel,(not set),5,1.25,0,16,4
2024031815,/,Welcome | Duke University Chapel,Welcome | Duke University Chapel,(not set),5,1,0,15,5
